,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
511,1930,12,18,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1369.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),no,no,3,110.442,-7.542
512,1933,1,8,Kharimkotan,Kuril Is,Russia,1145,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,yes,no,3,154.508,49.12
513,1933,12,24,Kuchinoerabu-jima,Ryukyu Is,Japan,649,Stratovolcano,Historical,8.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,4,130.22,30.43
514,1950,8,28,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,1,112.92,-8.108
515,1972,6,9,"Fournaise, Piton de la",Indian O-W,Reunion,2631,Shield volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,55.713,-21.229
516,1978,1,13,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,140.83,42.53
517,1979,7,18,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,1239.0,Very Many (~1001 or more deaths),Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,,123.59,-8.54
518,1996,9,27,Maderas,Nicaragua,Nicaragua,1394,Stratovolcano,Holocene,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,-85.515,11.446
519,2002,11,3,Reventador,Ecuador,Ecuador,3562,Stratovolcano,Historical,,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,4,-77.656,-0.078
520,2011,4,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-78.442,-1.467
521,2016,10,8,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,131.1,32.88
522,-4350,,,Kikai,Ryukyu Is,Japan,717,Caldera,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,7,130.28,30.78
523,934,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63
524,1250,,,Fentale,Africa-NE,Ethiopia,2007,Stratovolcano,Historical,,,,,,no,no,,39.93,8.975
525,1389,12,1,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98
526,1471,11,3,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,130.67,31.58
527,1500,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63
528,1590,1,15,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,-103.62,19.514
529,1596,5,1,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,138.53,36.4
530,1606,1,23,Hachijo-jima,Izu Is-Japan,Japan,854,Stratovolcano,Historical,,,,,,yes,no,2,139.77,33.13
531,1712,1,15,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.53,64.63
532,1716,10,5,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.53,64.63
533,1737,5,20,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,no,no,2,14.426,40.821
534,1779,11,8,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,153.0,Many (~101 to 1000 deaths),,,,no,no,4,130.67,31.58
535,1783,8,5,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1491.0,Very Many (~1001 or more deaths),,,,no,no,4,138.53,36.4
536,1822,12,27,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,100.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,110.442,-7.542
537,1840,,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,165.8,-10.38
538,1845,2,8,Soputan,Sulawesi-Indonesia,Indonesia,1784,Stratovolcano,Historical,118.0,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),yes,yes,2,124.725,1.108
539,1847,4,9,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,-24.35,14.95
540,1856,3,2,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,2806.0,Very Many (~1001 or more deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,3,125.5,3.67
541,1861,12,29,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,326.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),,Many (~101 to 1000 houses),no,no,4,127.4,0.32
542,1903,8,30,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,1,176.5,-38.12
543,1951,11,5,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,2.0,Few (~1 to 50 deaths),,,,no,no,,139.02,35.22
544,1954,8,3,Bam,New Guinea-NE of,Papua New Guinea,685,Stratovolcano,Historical,25.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),,,no,no,2,144.85,-3.6
545,1958,7,21,Daisetsu,Hokkaido-Japan,Japan,2290,Stratovolcano,Tephrochronology,2.0,Few (~1 to 50 deaths),,,,no,no,,142.88,43.68
546,1962,12,31,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,127.325,0.8
547,1969,1,7,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,110.442,-7.542
548,1973,1,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,3,121.708,-8.32
549,1974,6,17,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,130.67,31.58
550,1978,,,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,,107.6,-6.77
551,1983,7,23,Colo [Una Una],Sulawesi-Indonesia,Indonesia,507,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,4,121.608,-0.17
552,1987,4,17,Etna,Italy,Italy,3350,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,15.004,37.734
553,1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,3726,Stratovolcano,Historical,31.0,Few (~1 to 50 deaths),,,,no,no,3,116.47,-8.42
554,1996,9,30,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-17.33,64.42
555,1997,6,25,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,22.0,Few (~1 to 50 deaths),,,,no,no,3,-62.18,16.72
556,1999,10,5,Guagua Pichincha,Ecuador,Ecuador,4784,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,-78.598,-0.171
557,2001,8,5,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,110.442,-7.542
558,2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",3470,Stratovolcano,Historical,100.0,Some (~51 to 100 deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,1,29.25,-1.52
559,2011,3,18,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,125.48,2.7800000000000002
560,2012,2,10,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,,-155.292,19.425
561,2012,3,2,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,,,no,no,,-155.292,19.425
562,-1010,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,-78.442,-1.467
563,350,,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,,,,,,no,no,,-153.42,59.37
564,1311,1,18,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,Some (~51 to 100 deaths),,,,no,no,4,-19.05,63.63
565,1587,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,110.442,-7.542
566,1716,7,20,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,112.308,-7.93
567,1729,2,1,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-17.53,64.63
568,1742,12,9,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,3,-78.436,-0.677
569,1772,5,9,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,35.0,Few (~1 to 50 deaths),,,,yes,no,3,127.325,0.8
570,1775,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,124.792,1.358
571,1840,7,2,Ararat,Turkey,Turkey,5165,Stratovolcano,Holocene,1900.0,Very Many (~1001 or more deaths),,,,no,no,3,44.28,39.7
572,1871,12,8,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257
573,1874,7,19,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,120.993,14.002
574,1883,8,27,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,36417.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,6,105.423,-6.102
575,1885,4,18,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,74.0,Some (~51 to 100 deaths),,,,no,no,2,112.92,-8.108
576,1919,9,29,Mauna Loa,Hawaiian Is,United States,4170,Shield volcano,Historical,,,,,,yes,no,0,-155.608,19.475
577,1939,10,13,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,10.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,1,109.92,-7.2
578,1952,9,23,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,,,,,,yes,no,2,139.85,32.1
579,1952,,,Ambalatungan Group,Luzon-Philippines,Philippines,2329,Compound volcano,Fumarolic,12.0,Few (~1 to 50 deaths),,,,no,no,1,121.1,17.32
580,1961,1,25,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,,,no,no,3,-72.614,-41.326
581,1978,9,19,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,12.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
582,1984,8,15,Oku Volc Field,Africa-W,Cameroon,3011,Maar,Radiocarbon,37.0,Few (~1 to 50 deaths),,,,no,no,,10.5,6.25
583,1986,7,24,Stromboli,Italy,Italy,926,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,15.213,38.789
584,1987,12,1,Sirung,Lesser Sunda Is,Indonesia,862,Complex volcano,Historical,125.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,yes,,124.148,-8.51
585,1993,4,19,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,-155.292,19.425
586,1996,4,30,Popocatepetl,Mexico,Mexico,5426,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-98.622,19.023
587,2006,7,18,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-78.442,-1.467
588,2010,8,30,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,2.0,Few (~1 to 50 deaths),,,,no,no,,98.392,3.17
589,2016,6,9,Yellowstone,US-Wyoming,United States,2805,Caldera,Tephrochronology,1.0,Few (~1 to 50 deaths),,,,no,no,,-110.67,44.43
590,-197,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,,,,,yes,yes,3,25.396,36.404
591,60,,,Bona-Churchill,Alaska-E,United States,5005,Stratovolcano,Radiocarbon,,,,,,no,no,6,-141.75,61.38
592,1631,12,16,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,4000.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,5,14.426,40.821
593,1682,8,12,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,3,14.426,40.821
594,1757,7,9,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,1053.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),no,yes,0,-28.08,38.65
595,1812,4,27,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,56.0,Some (~51 to 100 deaths),,,,no,no,4,-61.18,13.33
596,1827,8,9,Avachinsky,Kamchatka,Russia,2741,Stratovolcano,Historical,,,,,,no,no,2,158.83,53.255
597,1846,5,27,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,107.6,-6.77
598,1856,9,25,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,20.0,Few (~1 to 50 deaths),,,Many (~101 to 1000 houses),no,no,4,140.68,42.07
599,1883,10,6,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,8.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,4,-153.42,59.37
600,1914,1,12,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,63.0,Some (~51 to 100 deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),yes,yes,4,130.67,31.58
601,1919,5,22,Stromboli,Italy,Italy,926,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,3,15.213,38.789
602,1927,9,5,Esjufjoll,Iceland-SE,Iceland,1760,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,-16.65,64.27
603,1944,3,27,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,27.0,Few (~1 to 50 deaths),,,,no,no,2,14.426,40.821
604,1949,6,,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,124.673,9.203
605,1953,3,25,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,,,,,,yes,no,2,139.85,32.1
606,1968,7,29,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,80.0,Some (~51 to 100 deaths),,,,no,no,3,-84.703,10.463
607,1972,10,2,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,2.0,Few (~1 to 50 deaths),,,,no,no,,139.02,35.22
608,1981,4,27,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,155.55,50.858
609,1990,11,25,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,,112.308,-7.93
610,1997,8,1,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,-62.18,16.72
611,2002,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
612,2006,8,17,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,-78.442,-1.467
613,-1610,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,yes,yes,7,25.396,36.404
614,-150,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,270,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,,147.35,-2.38
615,-100,,,Okmok,Aleutian Is,United States,1073,Shield volcano,Historical,,,,,,no,no,6,-168.13,53.42
616,1341,5,19,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98
617,1430,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-2,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,,168.536,-16.829
618,1510,7,25,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,4,-19.7,63.98
619,1580,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,1544,Pyroclastic shield,Radiocarbon,,,,,,no,no,6,155.225,-6.092
620,1698,,,Cereme,Java,Indonesia,3078,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,108.4,-6.892
621,1716,9,24,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,4,120.993,14.002
622,1717,8,27,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-90.88,14.473
623,1721,5,11,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,-19.05,63.63
624,1819,,,Asuncion,Mariana Is-C Pacific,United States,857,Stratovolcano,Historical,,,,,,yes,no,,145.4,19.67
625,1845,2,19,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,1000.0,Many (~101 to 1000 deaths),,,,no,no,3,-75.322,4.895
626,1895,10,16,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,2,130.87,31.93
627,1901,8,9,Epi,Vanuatu-SW Pacific,Vanuatu,833,Stratovolcano,Historical,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,yes,yes,,168.37,-16.68
628,1907,7,,Unnamed,Tonga-SW Pacific,Tonga,-500,Submarine volcano,Historical,,,,,,yes,yes,0,-175.65,-21.38
629,1928,3,28,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,yes,no,,105.423,-6.102
630,1940,7,24,"Lengai, Ol Doinyo",Africa-E,Tanzania,2890,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,35.902,-2.751
631,1946,2,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,2,112.92,-8.108
632,1953,3,23,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,64.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,3,110.442,-7.542
633,1954,7,21,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,137.6,36.57
634,1961,8,18,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4
635,1962,6,29,Tokachi,Hokkaido-Japan,Japan,2077,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,142.68,43.42
636,1963,5,16,Agung,Lesser Sunda Is,Indonesia,3142,Stratovolcano,Historical,120.0,Some (~51 to 100 deaths),,,,no,yes,3,115.508,-8.342
637,1969,3,21,Didicas,Luzon-N of,Philippines,244,Compound volcano,Historical,3.0,Few (~1 to 50 deaths),,,,yes,no,2,122.202,19.077
638,1997,4,17,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,1,125.48,2.7800000000000002
639,2000,7,27,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
640,2009,11,30,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,,-155.292,19.425
641,2011,1,3,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,110.442,-7.542
642,416,,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,Many (~101 to 1000 deaths),,EXTREME (~$25 million or more),,yes,no,,105.423,-6.102
643,1311,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,112.308,-7.93
644,1410,3,5,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,180.0,Many (~101 to 1000 deaths),,,,no,no,3,139.97,37.12
645,1672,4,24,Fayal,Azores,Portugal,1043,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,-28.73,38.6
646,1780,10,31,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,,,yes,no,,130.67,31.58
647,1800,,,Kieyo,Africa-E,Tanzania,2175,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,2,33.78,-9.23
648,1803,11,7,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4
649,1894,10,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,10.0,Few (~1 to 50 deaths),,,,no,no,3,168.12,-16.25
650,1910,7,25,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,140.83,42.53
651,1911,5,8,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,Some (~51 to 100 houses),no,no,2,138.53,36.4
652,1917,6,7,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,325.0,Many (~101 to 1000 deaths),,,,no,yes,3,-89.286,13.736
653,1923,6,,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,,107.6,-6.77
654,1923,7,1,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,130.87,31.93
655,1929,6,17,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,4,140.68,42.07
656,1929,11,2,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,,,no,no,3,-91.552,14.756
657,1939,7,24,Kick-'em-Jenny,W Indies,Netherlands,-177,Submarine volcano,Historical,,,,,,yes,no,1,-61.63,12.3
658,1951,8,31,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),,,,no,no,3,112.308,-7.93
659,1966,8,12,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,39.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),,Some (~51 to 100 houses),no,no,4,125.5,3.67
660,1971,10,29,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,15.0,Few (~1 to 50 deaths),,,,no,no,2,-71.93,-39.42
661,1974,7,28,Niigata-Yake-yama,Honshu-Japan,Japan,2400,Lava dome,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,138.03,36.92
662,1977,4,5,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,0,43.38,-11.75
663,1978,7,29,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,124.05,12.77
664,1982,4,4,"Chichon, El",Mexico,Mexico,1150,Tuff cone,Historical,33.0,Few (~1 to 50 deaths),,,,no,no,5,-93.228,17.36
665,1986,5,8,Akita-Yake-yama,Honshu-Japan,Japan,1366,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,140.77,39.97
666,2001,7,26,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,2,15.004,37.734
667,2018,2,1,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,1,-155.292,19.425
668,200,,,"Arhab, Harra of",Arabia-S,Yemen,3100,Volcanic field,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,44.08,15.63
669,640,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,1900,Volcanic field,Anthropology,,Few (~1 to 50 deaths),,,,no,no,2,37.25,27.08
670,1169,2,11,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,yes,no,,15.004,37.734
671,1600,2,19,Huaynaputina,Peru,Peru,4850,Stratovolcano,Historical,1500.0,Very Many (~1001 or more deaths),,,,no,yes,6,-70.85,-16.608
672,1629,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,2,-17.33,64.42
673,1717,8,4,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-17.53,64.63
674,1778,,,Raikoke,Kuril Is,Russia,551,Stratovolcano,Historical,15.0,Few (~1 to 50 deaths),,,,no,no,4,153.25,48.292
675,1789,,,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,139.38,34.73
676,1805,8,11,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,2,14.426,40.821
