,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
105,1820,6,11,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,Few (~1 to 50 deaths),,,,no,no,2,129.871,-4.525
106,1827,6,27,Avachinsky,Kamchatka,Russia,2741,Stratovolcano,Historical,,,,,,yes,yes,2,158.83,53.255
107,1843,11,17,Etna,Italy,Italy,3350,Stratovolcano,Historical,56.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),,,no,no,2,15.004,37.734
108,1847,12,4,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,,Some (~51 to 100 deaths),,,,no,no,2,109.92,-7.2
109,1857,4,17,Umboi,New Guinea-NE of,Papua New Guinea,1548,Complex volcano,Holocene,,,,,,yes,yes,,147.875,-5.589
110,1866,9,12,Ofu-Olosega,Samoa-SW Pacific,United States,639,Shield volcano,Historical,,,,,,yes,no,2,-169.618,-14.175
111,1870,8,,Ruang,Sangihe Is-Indonesia,Indonesia,725,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,2,125.425,2.2800000000000002
112,1870,,,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,123.59,-8.54
113,1885,5,25,Purace,Colombia,Colombia,4650,Stratovolcano,Historical,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,yes,3,-76.4,2.32
114,1897,3,26,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,2,165.8,-10.38
115,1902,5,7,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,1680.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),,,yes,no,4,-61.18,13.33
116,1903,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,17.0,Few (~1 to 50 deaths),,,,no,no,,43.38,-11.75
117,1932,10,1,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,138.55,36.62
118,1951,,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-20,Submarine volcano,Historical,,,,,,yes,no,2,157.95,-9.02
119,1971,12,27,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,,138.55,36.62
120,1991,10,24,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,124.792,1.358
121,1995,4,7,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,3,-90.601,14.381
122,1998,4,28,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,,,no,no,,-155.292,19.425
123,1999,5,21,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,,,no,no,2,-90.88,14.473
124,2011,12,27,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,127.325,0.8
125,2017,12,27,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,MODERATE (~$1 to $5 million),,no,no,,98.392,3.17
126,-4360,,,Macauley Island,Kermadec Is,New Zealand,238,Caldera,Holocene,,,,,,no,no,6,-178.47,-30.2
127,-4000,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,6,150.52,-5.58
128,-50,,,Apoyeque,Nicaragua,Nicaragua,518,Pyroclastic shield,Radiocarbon,,,,,,no,no,6,-86.342,12.242
129,46,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,,,,,yes,no,3,25.396,36.404
130,500,,,"Arhab, Harra of",Arabia-S,Yemen,3100,Volcanic field,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,44.08,15.63
131,787,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,3,14.426,40.821
132,1536,3,23,Etna,Italy,Italy,3350,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,15.004,37.734
133,1690,2,3,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,yes,no,,14.426,40.821
134,1726,2,1,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-17.53,64.63
135,1730,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,3,114.042,-8.125
136,1742,6,15,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,3,-78.436,-0.677
